TF,SmS,binding_mode_size,BC
CAMTA1_DBD,SmSAG20,12,7
FAM200B_DBD,SmSAG18,15,9
MSANTD1_FL,SmSAG10,12,1
POU5F1_FL,SmSAG01,12,6
PRDM10_DBD,SmSAG01,15,7
PRDM13_DBD,SmSAG18,12,10
TIGD4_FL,SmSAG04,12,9
ZBTB46_DBD,SmSAG18,15,11
PRDM5_DBD,SmSAG18,12,12
TIGD5_DBD,SmSAG09,15,2
USF3_DBD,SmSAG02,12,4
ZBED4_DBD,SmSAG13,15,2
ZBTB5_DBD,SmSAG13,9,3
ZHX2_FL,SmSAG02,9,8
ZNF131_FL,SmSAG18,12,7
MBD1_DBD,SmSAG06,6,12
ZNF367_FL,SmSAG06,12,3
ZNF395_DBD,SmSAG19,15,4
ZNF648_DBD,SmSAG06,15,8
ZNF518B_DBD,SmSAG19,15,5
TPRX1_DBD,SmSAG19,12,3
CXXC4_FL,SmSAG23,6,11
ZKSCAN4_DBD,SmSAG04,15,11
ZNF831_DBD,SmSAG19,9,6
ZXDB_DBD,SmSAG21,12,1
TTF1_DBD,SmSAG18,15,5
RFX5_FL,SmSAG22,12,4
TET2_FL,SmSAG20,6,10
ZNF248_FL,SmSAG10,15,2
ZFP1_FL,SmSAG17,12,7
ZNF8_FL,SmSAG22,12,11
ZFP14_FL,SmSAG17,15,9
ZNF777_FL,SmSAG23,12,8
ZNF891_FL,SmSAG10,12,12
ZNF503_DBD,SmSAG12,12,2
ZNF695_FL,SmSAG15,12,1
ZNF680_FL,SmSAG15,15,3
ZNF133_FL,SmSAG15,24,8
ZNF333_FL,SmSAG15,12,11
ZNF445_FL,SmSAG16,12,1
ZNF75D_FL,SmSAG16,12,2
ZNF793_FL,SmSAG16,15,3
ZNF716_FL,SmSAG16,15,4
ZNF18_FL,SmSAG16,15,6
ZNF263_FL,SmSAG16,12,7
ZNF468_FL,SmSAG16,12,8
ZNF23_FL,SmSAG16,15,10
ZNF614_FL,SmSAG18,15,2
