TF,exp,binding_mode_size,kmer_scatter
CAMTA1_DBD,exp20,15,6mer
FAM200B_DBD,exp18,15,8mer
MSANTD1_FL,exp10,12,7mer
POU5F1_FL,exp01,15,7mer
PRDM10_DBD,exp04,15,6mer
PRDM13_DBD,exp18,12,8mer
TIGD4_FL,exp04,12,6mer
ZBTB46_DBD,exp18,15,6mer
PRDM5_DBD,exp18,12,6mer
TIGD5_DBD,exp09,15,7mer
USF3_DBD,exp02,12,6mer
ZBED4_DBD,exp19,15,6mer
ZBTB5_DBD,exp13,12,6mer
ZHX2_FL,exp02,15,6mer
ZNF131_FL,exp13,9,6mer
MBD1_DBD,exp06,6,6mer
ZNF367_FL,exp06,12,6mer
ZNF395_DBD,exp19,15,6mer
ZNF648_DBD,exp06,15,6mer
ZNF518B_DBD,exp19,15,6mer
TPRX1_DBD,exp19,12,6mer
CXXC4_FL,exp23,6,6mer
ZKSCAN4_DBD,exp04,15,6mer
ZNF831_DBD,exp09,9,6mer
ZXDB_DBD,exp21,12,6mer
TTF1_DBD,exp18,15,6mer
RFX5_FL,exp22,12,7mer
TET2_FL,exp20,6,6mer
ZNF248_FL,exp10,15,7mer
ZFP1_FL,exp17,12,7mer
ZNF8_FL,exp22,12,6mer
ZFP14_FL,exp17,15,6mer
ZNF777_FL,exp23,12,6mer
ZNF891_FL,exp10,15,6mer
ZNF503_DBD,exp12,12,6mer
ZNF695_FL,exp15,12,6mer
ZNF680_FL,exp15,15,6mer
ZNF133_FL,exp15,24,6mer
ZNF333_FL,exp15,12,6mer
ZNF445_FL,exp16,12,6mer
ZNF75D_FL,exp16,12,6mer
ZNF793_FL,exp16,15,6mer
ZNF716_FL,exp16,15,6mer
ZNF18_FL,exp16,15,6mer
ZNF263_FL,exp16,12,6mer
ZNF468_FL,exp16,12,6mer
ZNF23_FL,exp16,15,6mer
ZNF614_FL,exp18,15,6mer
ZHX2_DBD2,exp24,12,6mer
