TF,exp,binding_mode_size
CAMTA1_DBD,exp20,12
FAM200B_DBD,exp18,15
MSANTD1_FL,exp10,12
POU5F1_FL,exp01,12
PRDM10_DBD,exp01,15
PRDM13_DBD,exp18,12
TIGD4_FL,exp04,12
ZBTB46_DBD,exp18,15
PRDM5_DBD,exp18,12
TIGD5_DBD,exp09,15
USF3_DBD,exp02,12
ZBED4_DBD,exp13,15
ZBTB5_DBD,exp13,9
ZHX2_FL,exp02,9
ZNF131_FL,exp18,12
MBD1_DBD,exp06,6
ZNF367_FL,exp06,12
ZNF395_DBD,exp19,15
ZNF648_DBD,exp06,15
ZNF518B_DBD,exp19,15
TPRX1_DBD,exp19,12
CXXC4_FL,exp23,6
ZKSCAN4_DBD,exp04,15
ZNF831_DBD,exp19,9
ZXDB_DBD,exp21,12
TTF1_DBD,exp18,15
RFX5_FL,exp22,12
TET2_FL,exp20,6
ZNF248_FL,exp10,15
ZFP1_FL,exp17,12
ZNF8_FL,exp22,12
ZFP14_FL,exp17,15
ZNF777_FL,exp23,12
ZNF891_FL,exp10,12
ZNF503_DBD,exp12,12
ZNF695_FL,exp15,12
ZNF680_FL,exp15,15
ZNF133_FL,exp15,24
ZNF333_FL,exp15,12
ZNF445_FL,exp16,12
ZNF75D_FL,exp16,12
ZNF793_FL,exp16,15
ZNF716_FL,exp16,15
ZNF18_FL,exp16,15
ZNF263_FL,exp16,12
ZNF468_FL,exp16,12
ZNF23_FL,exp16,15
ZNF614_FL,exp18,15
ZHX2_DBD2,exp24,12
