,A,C,G,T,m,g
0,-0.12710965952250944,-0.13634948742761097,-0.13477785930957278,-0.1260480975543199,-0.11303871019796519,-0.11319360713631309
1,-0.12706655253891128,-0.13622896103392512,-0.13546406129088817,-0.12573727119957176,-0.11298508200436133,-0.11303549343437236
2,-0.1267224304369441,-0.13531169335927137,-0.13586077328845808,-0.12656212448980989,-0.11307326888884979,-0.11298713389071655
3,-0.12656925969302255,-0.1365319038534658,-0.13523860813295235,-0.1261952532556345,-0.11290807035311023,-0.11307432596741133
4,-0.1270344541480614,-0.1362556220795172,-0.13621214999462197,-0.1252880740100943,-0.11282050939714533,-0.11290661165021325
5,-0.12662647242099903,-0.13612346654939045,-0.13655727432610215,-0.12544898647872854,-0.11294026587872119,-0.11282095769101488
6,-0.12542452785814115,-0.1365889787835438,-0.13609481597140263,-0.12664235723041709,-0.11282741899285353,-0.11293932053796951
7,-0.12533439602263913,-0.1361412315865113,-0.1363433709029156,-0.12696863105661804,-0.11290114441945788,-0.11282864705043573
8,-0.12616818506516594,-0.13527550790624557,-0.13646104812851292,-0.12663270723580178,-0.11307671538924392,-0.11290325774190943
9,-0.12658933358432609,-0.1358712412397755,-0.1353014591832509,-0.12669843631001923,-0.11298006687161197,-0.11307688520754225
10,-0.12569742352194996,-0.13546062920757346,-0.13630699601324847,-0.12702464918204096,-0.11304799527845799,-0.11297973080867965
11,-0.12605844529933904,-0.13475864519160344,-0.1362853940775573,-0.1271799175337212,-0.11318475943600652,-0.11305026166991167
